image,component_id,area_px,eq_diameter_px,eq_diameter_um,size_group,d_class_coverage,detected
D0624-39_crop_00.jpg,5,81,10.155412503859614,5.532668732102717,medium_5-10um,0.7901234567901234,1
D0624-39_crop_00.jpg,6,49,7.898654169668588,4.303186791635446,small_<=5um,0.0,0
D0624-39_crop_00.jpg,7,49,7.898654169668588,4.303186791635446,small_<=5um,0.0,0
D0624-39_crop_00.jpg,8,797,31.85548488335917,17.354868164454075,large_>10um,0.9560853199498118,1
D0624-39_crop_00.jpg,9,49,7.898654169668588,4.303186791635446,small_<=5um,0.8979591836734694,1
D0624-3_crop_02.jpg,1,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9506172839506173,1
D0624-3_crop_02.jpg,2,113,11.994835078277376,6.534786150645513,medium_5-10um,0.9469026548672567,1
D0624-40_crop_01.jpg,1,49,7.898654169668588,4.303186791635446,small_<=5um,0.0,0
D0624-40_crop_01.jpg,2,49,7.898654169668588,4.303186791635446,small_<=5um,0.9591836734693877,1
D0624-40_crop_01.jpg,3,81,10.155412503859614,5.532668732102717,medium_5-10um,0.012345679012345678,0
D0624-40_crop_01.jpg,4,49,7.898654169668588,4.303186791635446,small_<=5um,0.0,0
D0624-40_crop_01.jpg,5,113,11.994835078277376,6.534786150645513,medium_5-10um,0.9823008849557522,1
D0624-42_crop_01.jpg,1,113,11.994835078277376,6.534786150645513,medium_5-10um,0.9026548672566371,1
D0624-42_crop_01.jpg,2,29,6.076507779746499,3.3104814384058923,small_<=5um,1.0,1
D0624-42_crop_01.jpg,3,49,7.898654169668588,4.303186791635446,small_<=5um,0.0,0
D0624-48_crop_00.jpg,1,81,10.155412503859614,5.532668732102717,medium_5-10um,0.0,0
D0624-48_crop_00.jpg,2,113,11.994835078277376,6.534786150645513,medium_5-10um,0.9911504424778761,1
D0624-48_crop_00.jpg,3,113,11.994835078277376,6.534786150645513,medium_5-10um,0.9734513274336283,1
D0624-48_crop_00.jpg,4,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9506172839506173,1
D0624-48_crop_00.jpg,5,112,11.941642642883693,6.5058069118430355,medium_5-10um,0.7589285714285714,1
D0624-48_crop_00.jpg,6,49,7.898654169668588,4.303186791635446,small_<=5um,0.9591836734693877,1
D0624-48_crop_00.jpg,7,49,7.898654169668588,4.303186791635446,small_<=5um,0.8163265306122449,1
D0624-48_crop_00.jpg,8,81,10.155412503859614,5.532668732102717,medium_5-10um,1.0,1
D0624-4_crop_01.jpg,1,149,13.773623058786647,7.5038698424269645,medium_5-10um,0.8456375838926175,1
D0624-4_crop_02.jpg,1,113,11.994835078277376,6.534786150645513,medium_5-10um,0.9911504424778761,1
D0624-50_crop_00.jpg,1,49,7.898654169668588,4.303186791635446,small_<=5um,0.5510204081632653,1
D0624-50_crop_00.jpg,2,49,7.898654169668588,4.303186791635446,small_<=5um,1.0,1
D0624-50_crop_00.jpg,3,149,13.773623058786647,7.5038698424269645,medium_5-10um,0.9463087248322147,1
D0624-50_crop_00.jpg,4,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9753086419753086,1
D0624-50_crop_00.jpg,5,81,10.155412503859614,5.532668732102717,medium_5-10um,0.6172839506172839,1
D0624-52_crop_00.jpg,1,113,11.994835078277376,6.534786150645513,medium_5-10um,0.6902654867256637,1
D0624-52_crop_00.jpg,2,81,10.155412503859614,5.532668732102717,medium_5-10um,0.8024691358024691,1
D0624-52_crop_00.jpg,3,81,10.155412503859614,5.532668732102717,medium_5-10um,0.8395061728395061,1
D0624-52_crop_00.jpg,4,197,15.837556323903858,8.62830068526282,medium_5-10um,0.9187817258883249,1
D0624-52_crop_00.jpg,5,81,10.155412503859614,5.532668732102717,medium_5-10um,0.7777777777777778,1
D0624-52_crop_00.jpg,6,113,11.994835078277376,6.534786150645513,medium_5-10um,1.0,1
D0624-54_crop_00.jpg,1,49,7.898654169668588,4.303186791635446,small_<=5um,0.0,0
D0624-54_crop_00.jpg,2,81,10.155412503859614,5.532668732102717,medium_5-10um,0.8765432098765432,1
D0624-54_crop_00.jpg,3,81,10.155412503859614,5.532668732102717,medium_5-10um,0.48148148148148145,1
D0624-54_crop_00.jpg,4,81,10.155412503859614,5.532668732102717,medium_5-10um,0.6419753086419753,1
D0624-54_crop_00.jpg,5,49,7.898654169668588,4.303186791635446,small_<=5um,1.0,1
D0624-54_crop_00.jpg,6,196,15.797308339337176,8.606373583270893,medium_5-10um,0.9795918367346939,1
D0624-58_crop_01.jpg,1,149,13.773623058786647,7.5038698424269645,medium_5-10um,0.7651006711409396,1
D0624-58_crop_01.jpg,2,113,11.994835078277376,6.534786150645513,medium_5-10um,0.9646017699115044,1
D0624-58_crop_01.jpg,3,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9506172839506173,1
D0624-60_crop_01.jpg,1,49,7.898654169668588,4.303186791635446,small_<=5um,0.6530612244897959,1
D0624-60_crop_01.jpg,2,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9506172839506173,1
D0624-60_crop_01.jpg,3,49,7.898654169668588,4.303186791635446,small_<=5um,0.5714285714285714,1
D0624-60_crop_01.jpg,4,81,10.155412503859614,5.532668732102717,medium_5-10um,0.5555555555555556,1
D0624-60_crop_01.jpg,5,81,10.155412503859614,5.532668732102717,medium_5-10um,0.7777777777777778,1
D0624-60_crop_01.jpg,6,81,10.155412503859614,5.532668732102717,medium_5-10um,0.8024691358024691,1
D0624-60_crop_02.jpg,1,81,10.155412503859614,5.532668732102717,medium_5-10um,0.5679012345679012,1
D0624-60_crop_02.jpg,2,113,11.994835078277376,6.534786150645513,medium_5-10um,0.9646017699115044,1
D0624-60_crop_02.jpg,3,49,7.898654169668588,4.303186791635446,small_<=5um,0.7959183673469388,1
D0624-65_crop_00.jpg,1,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9629629629629629,1
D0624-65_crop_00.jpg,2,253,17.94796937867892,9.778053717504275,medium_5-10um,0.9565217391304348,1
D0624-65_crop_00.jpg,3,113,11.994835078277376,6.534786150645513,medium_5-10um,0.8230088495575221,1
D0624-67_crop_00.jpg,1,113,11.994835078277376,6.534786150645513,medium_5-10um,0.9292035398230089,1
D0624-67_crop_00.jpg,2,113,11.994835078277376,6.534786150645513,medium_5-10um,0.9469026548672567,1
D0624-67_crop_00.jpg,3,149,13.773623058786647,7.5038698424269645,medium_5-10um,0.8456375838926175,1
D0624-67_crop_00.jpg,4,149,13.773623058786647,7.5038698424269645,medium_5-10um,0.738255033557047,1
D0624-67_crop_00.jpg,5,113,11.994835078277376,6.534786150645513,medium_5-10um,0.8230088495575221,1
D0624-67_crop_00.jpg,6,49,7.898654169668588,4.303186791635446,small_<=5um,0.7551020408163265,1
D0624-69_crop_01.jpg,1,81,10.155412503859614,5.532668732102717,medium_5-10um,0.0,0
D0624-69_crop_01.jpg,2,81,10.155412503859614,5.532668732102717,medium_5-10um,0.012345679012345678,0
