image,inclusion_precision,inclusion_recall,inclusion_f1,gt_inclusion_objects,apparent_bg_strip_fp_components,apparent_bg_d_fp_components
0506tin2_03-04_crop_01.jpg,0.6953271028037383,0.6158940397350994,0.6532045654082529,9,9,0
0506tin2_03-07_crop_00.jpg,0.9246788370520622,0.3991827203736135,0.5576350662589195,10,32,0
0506tin2_03-10_crop_01.jpg,0.8305308275634685,0.3772652388797364,0.5188465499485067,5,15,0
0506tin2_03-11_crop_00.jpg,0.8553861288735858,0.6031911203607353,0.7074857607811227,14,30,0
0506tin2_03-11_crop_01.jpg,0.827426810477658,0.8050974512743628,0.8161094224924011,6,16,0
0506tin2_03-14_crop_01.jpg,0.881447078953801,0.6743968580512437,0.7641449459631278,10,37,0
0506tin2_03-19_crop_02.jpg,0.9122807017543859,0.5810055865921788,0.7098976109215016,2,2,0
0506tin2_03-21_crop_00.jpg,0.7164614387556708,0.632618025751073,0.671934356480778,14,18,0
0506tin2_03-21_crop_03.jpg,1.0,0.10251450676982592,0.18596491228070175,1,0,0
0506tin2_04-01_crop_01.jpg,0.8364366557137641,0.5850357507660878,0.6885048835462058,6,23,0
0506tin2_04-03_crop_00.jpg,0.7598870056497176,0.8053892215568862,0.7819767441860466,5,9,0
0506tin2_04-10_crop_02.jpg,0.6201923076923077,0.9381818181818182,0.7467438494934878,3,11,0
0506tin2_04-20_crop_02.jpg,0.3103448275862069,0.9230769230769231,0.4645161290322581,2,8,0
0506tin2_05-01_crop_02.jpg,0.5221518987341772,0.9166666666666666,0.6653225806451613,2,8,0
0506tin2_05-06_crop_03.jpg,0.9579439252336449,0.9234234234234234,0.9403669724770642,1,2,0
0506tin2_05-09_crop_00.jpg,0.872382851445663,0.6598793363499246,0.7513954486904251,7,13,0
0506tin2_05-14_crop_00.jpg,0.9157166123778502,0.9116335630320227,0.9136705261019703,12,29,0
0506tin2_05-18_crop_00.jpg,0.6949602122015915,0.7649635036496351,0.728283530229326,7,12,0
0506tin2_05-18_crop_01.jpg,0.9305912596401028,0.9378238341968912,0.9341935483870969,4,6,0
0506tin2_05-19_crop_00.jpg,0.9103448275862069,0.624113475177305,0.7405329593267882,7,4,0
0506tin2_05-19_crop_01.jpg,0.6906766448394138,0.8552123552123552,0.7641883732965327,3,20,0
0506tin2_06-06_crop_00.jpg,0.6797979797979798,0.6763819095477387,0.6780856423173804,8,8,0
0506tin2_06-08_crop_00.jpg,0.6776913099870299,0.8878504672897196,0.7686649503493931,8,7,0
0506tin2_06-13_crop_02.jpg,0.9451612903225807,0.679814385150812,0.7908232118758434,6,4,0
0506tin2_06-18_crop_00.jpg,0.9696969696969697,0.7989487516425755,0.8760806916426512,6,3,0
0506tin2_06-19_crop_00.jpg,0.8391451068616423,0.6888273314866112,0.7565922920892495,13,8,0
0506tin2_07-05_crop_02.jpg,0.9042654028436019,0.4264640143048726,0.5795868772782503,2,7,0
0506tin2_07-09_crop_00.jpg,0.8214285714285714,0.7225130890052356,0.7688022284122563,4,4,0
0506tin2_07-11_crop_01.jpg,0.9567567567567568,0.7436974789915967,0.8368794326241135,4,3,0
0506tin2_07-16_crop_01.jpg,0.9735849056603774,0.43179916317991635,0.5982608695652174,6,4,0
0506tin2_08-08_crop_02.jpg,1.0,0.6917293233082706,0.8177777777777777,1,0,0
0506tin2_08-11_crop_01.jpg,0.0,0.0,0.0,1,1,0
0506tin2_08-12_crop_00.jpg,0.751145038167939,0.43967828418230565,0.5546786922209695,9,9,0
0506tin2_08-15_crop_00.jpg,0.9581749049429658,0.5791201575837164,0.7219152854511971,10,4,0
0506tin2_08-16_crop_01.jpg,1.0,0.4678471575023299,0.6374603174603174,4,0,0
0506tin2_08-17_crop_02.jpg,0.9144427001569859,0.4278369445464561,0.5829372029021767,1,9,0
0506tin2_08-18_crop_01.jpg,1.0,0.6927710843373494,0.8185053380782917,1,0,0
0506tin2_09-03_crop_01.jpg,1.0,0.5528455284552846,0.712041884816754,2,0,0
0506tin2_09-11_crop_00.jpg,0.9746926970354303,0.7366120218579235,0.8390911920323685,11,5,0
0506tin2_09-13_crop_01.jpg,0.9205607476635514,0.6370250606305577,0.752986144290492,5,1,0
0506tin2_09-14_crop_00.jpg,0.8303571428571429,0.5861344537815126,0.687192118226601,5,1,0
0506tin2_09-14_crop_02.jpg,0.0,0.0,0.0,1,0,0
0506tin2_10-01_crop_00.jpg,0.883406113537118,0.7329710144927536,0.8011881188118812,22,18,0
0506tin2_10-07_crop_01.jpg,0.9111111111111111,0.7142857142857143,0.80078125,10,11,0
0506tin2_10-08_crop_01.jpg,0.5199709513435004,0.8053993250843644,0.6319505736981466,11,15,0
0506tin2_10-10_crop_03.jpg,0.9496314496314496,0.5730170496664195,0.7147480351363847,5,6,0
0506tin2_10-14_crop_01.jpg,0.7880085653104925,0.9583333333333334,0.8648648648648649,2,11,0
0506tin2_10-14_crop_02.jpg,0.8909090909090909,0.3387096774193548,0.4908180300500834,1,2,0
0506tin2_10-16_crop_01.jpg,0.9041095890410958,0.42230347349177333,0.5757009345794393,4,9,0
0506tin2_10-21_crop_02.jpg,0.824265505984766,0.8701895462377943,0.8466051969823972,3,16,0
0506tin2_11-03_crop_01.jpg,0.907530454042082,0.6937566137566138,0.7863739954420056,8,25,0
0506tin2_11-07_crop_01.jpg,0.9280694501860273,0.6757977122215533,0.7820937118968821,7,22,3
0506tin2_11-10_crop_02.jpg,1.0,0.453042328042328,0.6235776058261265,1,0,0
0506tin2_11-19_crop_00.jpg,0.9916666666666667,0.6839080459770115,0.8095238095238095,3,0,0
