image,component_id,area_px,eq_diameter_px,eq_diameter_um,gate_strip_coverage,strip_expert_tind_coverage,final_tind_coverage,gate_strip_detected,strip_expert_tind_detected,final_tind_detected
0506tin1_1_65_crop_01.jpg,3,73,9.640875829802336,5.252349152076312,0.821917808219178,0.6301369863013698,0.6301369863013698,1,1,1
0506tin1_1_65_crop_01.jpg,4,78,9.965574970333758,5.429245243837831,0.7307692307692307,0.7948717948717948,0.7435897435897436,1,1,1
0506tin1_1_65_crop_01.jpg,5,186,15.389040103942165,8.38394904862769,0.9516129032258065,0.967741935483871,0.956989247311828,1,1,1
0506tin1_1_65_crop_01.jpg,6,191,15.594510349620345,8.495889238473163,0.9633507853403142,0.9842931937172775,0.9685863874345549,1,1,1
0506tin1_1_68_crop_01.jpg,1,93,10.881694613449236,5.928347225407143,0.9354838709677419,0.956989247311828,0.946236559139785,1,1,1
0506tin1_1_69_crop_02.jpg,1,81,10.155412503859614,5.532668732102717,0.9382716049382716,0.0,0.0,1,0,0
0506tin1_1_69_crop_02.jpg,2,66,9.166995688475081,4.994179251081224,0.9393939393939394,0.9393939393939394,0.9393939393939394,1,1,1
0506tin1_1_69_crop_02.jpg,3,118,12.257335203001883,6.677796218595425,0.847457627118644,0.864406779661017,0.864406779661017,1,1,1
0506tin1_1_71_crop_01.jpg,1,91,10.764051215546116,5.8642551022295235,0.7692307692307693,0.7692307692307693,0.7692307692307693,1,1,1
0506tin1_1_71_crop_01.jpg,2,105,11.562445770562215,6.299220455802295,0.8571428571428571,0.8571428571428571,0.8571428571428571,1,1,1
0506tin1_1_71_crop_01.jpg,3,31,6.282549314314218,3.4227328664383854,0.22580645161290322,0.0,0.0,0,0,0
0506tin1_1_71_crop_01.jpg,4,45,7.569397566060481,4.12380779398975,0.0,0.0,0.0,0,0,0
0506tin1_1_71_crop_01.jpg,5,149,13.773623058786647,7.5038698424269645,0.6912751677852349,0.6845637583892618,0.6711409395973155,1,1,1
0506tin2_01-03_crop_01.jpg,1,163,14.406180819073164,7.848487310231059,0.9263803680981595,0.0,0.0,1,0,0
0506tin2_01-10_crop_00.jpg,1,154,14.002817212590296,7.6287348174191925,0.9285714285714286,0.948051948051948,0.935064935064935,1,1,1
0506tin2_01-10_crop_00.jpg,2,50,7.978845608028654,4.34687508725401,0.0,0.0,0.0,0,0,0
0506tin2_01-10_crop_00.jpg,3,36,6.770275002573076,3.688445821401811,0.6111111111111112,0.6666666666666666,0.6388888888888888,1,1,1
0506tin2_01-10_crop_00.jpg,4,138,13.255453865237978,7.22157126578165,0.8115942028985508,0.8478260869565217,0.8405797101449275,1,1,1
0506tin2_01-10_crop_00.jpg,5,57,8.51907589177983,4.64119254584165,0.8245614035087719,0.8245614035087719,0.8070175438596491,1,1,1
0506tin2_01-10_crop_00.jpg,6,59,8.667244841319219,4.72191498955071,0.9830508474576272,0.9830508474576272,0.9830508474576272,1,1,1
0506tin2_01-10_crop_00.jpg,7,54,8.291859587312052,4.517405103167605,0.9629629629629629,0.9814814814814815,0.9814814814814815,1,1,1
0506tin2_01-10_crop_00.jpg,8,201,15.99753570059363,8.71545744968341,0.9900497512437811,0.0,0.0,1,0,0
0506tin2_01-10_crop_00.jpg,9,118,12.257335203001883,6.677796218595425,0.8389830508474576,0.8559322033898306,0.8559322033898306,1,1,1
0506tin2_01-10_crop_00.jpg,10,64,9.0270333367641,4.917927761869081,0.890625,0.875,0.859375,1,1,1
0506tin2_01-10_crop_00.jpg,11,42,7.312732791431452,3.983976824771855,0.7142857142857143,0.7619047619047619,0.7142857142857143,1,1,1
0506tin2_01-15_crop_01.jpg,1,289,19.182445840623714,10.450596493971798,0.5709342560553633,0.615916955017301,0.5847750865051903,1,1,1
0506tin2_01-16_crop_00.jpg,1,166,14.538148590038452,7.920383351852948,0.8433734939759037,0.8795180722891566,0.8554216867469879,1,1,1
0506tin2_01-16_crop_00.jpg,2,91,10.764051215546116,5.8642551022295235,0.7912087912087912,0.8131868131868132,0.8021978021978022,1,1,1
0506tin2_01-16_crop_00.jpg,3,83,10.280023453913834,5.6005567776922565,0.8313253012048193,0.891566265060241,0.8674698795180723,1,1,1
0506tin2_01-16_crop_00.jpg,4,79,10.02925341359355,5.463937259725765,0.0,0.31645569620253167,0.10126582278481013,0,1,0
0506tin2_01-16_crop_00.jpg,5,216,16.583719174624104,9.03481020633521,0.8888888888888888,0.9074074074074074,0.8888888888888888,1,1,1
0506tin2_01-16_crop_00.jpg,6,56,8.444016491289505,4.600300184454522,0.0,0.0,0.0,0,0,0
0506tin2_01-16_crop_00.jpg,7,44,7.48482063701911,4.077730283048011,0.8863636363636364,0.9318181818181818,0.8863636363636364,1,1,1
0506tin2_01-16_crop_00.jpg,8,315,20.026743534373637,10.910569877526756,0.8698412698412699,0.9301587301587302,0.9047619047619048,1,1,1
0506tin2_01-16_crop_00.jpg,9,276,18.746042631630413,10.212844025712249,0.9818840579710145,0.9891304347826086,0.9855072463768116,1,1,1
